centre_code,centre_name,organisation_type,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,spark_certified,last_updated,latitude,longtitude,placeId
KG1485,Brain Buttons Kindergarten,Commercial,64819255,357brainbuttons@gmail.com,357 Yio Chu Kang Road S(805939),805939,www.brainbuttons.com,No,25/10/17,,,
KG1567,Brainy Bunch International Montessori,Commercial,62834490,info.sg@brainybunch.com | hougang@brainybunch.com,247 Hougang Avenue 3 #01-452 S(530247),530247,na,No,25/10/17,,,
KG1597,Brainy Bunch International Montessori (Pasir Ris),Commercial,63856744,info.sg@brainybunch.com | pasir.ris@brainybunch.com,273 Pasir Ris Street 21 #01-498 S(510273),510273,na,No,25/10/17,,,
KG1544,British Council (Singapore) Pre-school,Commercial,67839209,na,11 Tampines Concourse #01-02/03/04 S(528729),528729,www.britishcouncil.org.sg,No,25/10/17,,,
KG1393,Bukit Panjang Methodist Church Kindergarten,NFP,67607662,kinder@bpmck.org.sg,John Wesley Centre 496 Upper Bukit Timah Road S(678099),678099,na,No,25/10/17,,,
KG1012,Buttercups Kindergarten (Pasir Panjang),Commercial,67744900,buttercupspp@singnet.com.sg,Pasir Panjang Post Office 396 Pasir Panjang Road #02-01 S(118733),118733,www.buttercupsmontessori.com,No,25/10/17,,,
KG1488,Buttercups Kindergarten (Rochester),Commercial,66848980,buttercupsroc@singnet.com.sg,The Rochester 35 Rochester Drive #03-11 S(138639),138639,na,No,25/10/17,,,
KG1320,Buttercups Montessori Kindergarten,Commercial,64624838,bmonte@singnet.com.sg,68 Namly Place S(267214),267214,www.buttercupsmontessori.com,No,25/10/17,,,
KG1598,Callidus Preschool,Commercial,64552577,calliduspreschool@gmail.com,229 Bishan Street 23 #B1-53 S(570229),570229,calliduspreschool.sg,No,25/10/17,,,
KG1099,Calvary Baptist Kindergarten,NFP,62893900,cbk@calvary.org.sg,48 Wan Tho Avenue S(347592),347592,www.calvarybk.com/,No,25/10/17,,,
KG1335,Calvary Pandan Kindergarten,NFP,65603884,cpk@calvarypandan.sg,201 Pandan Gardens S(609337),609337,www.cpk.calvarypandan.sg,No,25/10/17,,,
KG1095,Canaan Church (SCCC) Kindergarten,NFP,62929335,kindergarten@mycanaan.org,84 St. Francis Road S(328069),328069,kindergarten.mycanaan.org/,No,25/10/17,,,
KG1324,Canossian Convent Kindergarten,NFP,64692201,cckg.generaloffice@gmail.com,100 Jalan Merbok S(598454),598454,canossian.org.sg,No,25/10/17,,,
KG1276,Catholic Kindergarten,NFP,62833821,catholickdg@gmail.com,15 Flower Road S(549404),549404,na,No,25/10/17,,,
KG1219,Cavenur Kindergarten,Commercial,67823437,info@cavenur.edu.sg,741 Tampines Street 72 #01-74 S(520741),520741,www.cavenur.edu.sg,No,25/10/17,,,
KG1577,Cedan Kindergarten,Commercial,63876648,enquiry@cedankindergarten.com.sg,198 Punggol Field #02-02 S(820198),820198,www.cedankindergarten.com.sg,No,25/10/17,,,
KG1369,Centre of New Life Kindergarten,NFP,67943671,kindergarten@cnl.org.sg,5 Jurong West Street 74 S(649151),649151,na,No,25/10/17,,,
KG1419,CGM Kindergarten,NFP,67627453,cgmadm172@gmail.com,172 Choa Chu Kang Avenue 1 S(689457),689457,na,No,25/10/17,,,
KG1183,Changi Baptist Church Kindergarten,NFP,65452060,cbck@changibaptist.org,1069 Upper Changi Road North S(507692),507692,www.changibaptist.org/#!kindergarten/c1uje,No,25/10/17,,,
KG1484,Chatsworth Preschool,Commercial,64815585,information.piccadilly@chatsworth.com.sg,1 Piccadilly Circus S(797640),797640,www.chatsworth.com.sg,No,25/10/17,,,
KG1501,Chatsworth Preschool (Bedok),Commercial,64489006,information.bedok@chatsworth.com.sg,Simpang Bedok Post Office 350 Bedok Road S(469538),469538,www.chatsworth.com.sg,No,25/10/17,,,
KG1115,Chen Li Kindergarten,NFP,63451802,grow@chenli.edu.sg,76 Guillemard Road S(399711),399711,chenli.edu.sg,No,25/10/17,,,
KG1590,Chengzhu Mandarin Kindergarten,Commercial,67375348,enquiries@chengzhu.net,The Rochester 35 Rochester Drive #03-01/02/03/04/05/27 S(138639),138639,www.chengzhu.edu.sg,No,25/10/17,,,
KG1067,Cherrybrook Kindergarten,Commercial,64686550,service@cherrybrook.edu.sg,82 Queen's Road S(266774),266774,www.cherrybrook.edu.sg,No,25/10/17,,,
KG1496,Children's Vineyard Kindergarten,Commercial,64408813,admin@childrensvineyard.com,91 Koon Seng Road S(427032),427032,childrensvineyard.com,No,25/10/17,,,
KG1039,Chinese Kindergarten,NFP,62219862,ckenquiry@gmail.com |,256 Outram Road S(169053),169053,na,No,25/10/17,,,
KG1418,Choa Chu Kang Bible Centre Kindergarten,NFP,67637502,cckbckin@singnet.com.sg,10 Choa Chu Kang Street 52 S(689284),689284,cckbck.sg,Yes,25/10/17,,,
KG1231,Church Of Holy Trinity Kindergarten,NFP,67874651,admin@holytrinitykindergarten.edu.sg,20 Tampines Street 11 S(529455),529455,www.holytrinitykindergarten.edu.sg,Yes,25/10/17,,,
KG1020,Clementi Woods Kindergarten LLP,Commercial,67750656,cwk152@singnet.com.sg,152 West Coast Road S(127370),127370,www.clementiwoodskindergarten.edu.sg,Yes,25/10/17,,,
KG1325,Creative Thinkers Kindergarten,Commercial,64620678,creativethinkers2004@gmail.com,110 Jalan Jurong Kechil #01-02/03/04 S(598606),598606,na,Yes,25/10/17,,,
KG1210,Creative Twinkles Preschool,Commercial,67890065,creativetwinklesllp@gmail.com,354 Tampines Street 33 #01-530 S(520354),520354,na,No,25/10/17,,,
KG1502,CS Montessori Kindergarten @ Serangoon,Commercial,66345611,nexadmin@cs-montessori.com.sg,Nex 23 Serangoon Central #04-77 S(556083),556083,www.cs-montessori.com.sg,No,25/10/17,,,
KG1579,CS Montessori Kindergarten @ Tiong Bahru,Commercial,63240208,ewadmin@cs-montessori.com.sg,36 Beo Crescent #01-31 S(160036),160036,www.cs-montessori.com.sg,No,25/10/17,,,
KG1029,Damien Centre Kindergarten,NFP,64737812,dckdgn@bsc.org.sg,1 Commonwealth Drive S(149603),149603,www.damiencentrekindergarten.webs.com,No,25/10/17,,,
KG1232,Darul Ghufran Mosque Kindergarten,NFP,67865545 ext:29,lydiayanti@mujahidin.mosque.org.sg |,503 Tampines Avenue 5 S(529651),529651,na,No,25/10/17,,,
KG1480,Darul Makmur Mosque Kindergarten,NFP,68528367,lydiayanti@mujahidin.mosque.org.sg |,950 Yishun Avenue 2 S(769099),769099,na,No,25/10/17,,,
KG1021,Darussalam Mosque Kindergarten,NFP,67770028,lydiayanti@mujahidin.mosque.org.sg |,3002 Commonwealth Avenue West S(129579),129579,na,No,25/10/17,,,
KG1493,Dayspring Kindergarten,Commercial,64897489,dayspring17@ymail.com,Marina Country Club 11 Northshore Drive S(828670),828670,http://www.dayspring.edu.sg,No,25/10/17,,,
KG1495,Dayspring Kindergarten @ Marina Country Club,Commercial,64894489,dayspring17@ymail.com,Marina Country Club 11 Northshore Drive #02-01 S(828670),828670,http://www.dayspring.edu.sg,No,25/10/17,,,
KG1528,Divinity Kindergarten,Commercial,67027559,divinity.esp@gmail.com,Oxley Bizhub 65 Ubi Road 1 #01-56 to 59 S(408729),408729,www.divinity.edu.sg,No,25/10/17,,,
KG1569,Dreamkids Kindergarten @ East Gate Pte Ltd,Commercial,63488078,na,Eastgate 46 East Coast Road #01-03 S(428766),428766,www.dreamkids.com.sg,No,25/10/17,,,
KG1137,Dynamic World Montessori Preschool,Commercial,64489575,dw_montessori@yahoo.com.sg,292 East Coast Road S(428951),428951,dw-montessori.com.sg,No,25/10/17,,,
KG1321,Early Years Montessori,Commercial,64691572,admin@earlyyears.edu.sg,16 Sunset Drive S(597475),597475,www.earlyyears.edu.sg,No,25/10/17,,,
KG1479,Edelweiss Kindergarten Sembawang Presbyterian Church,NFP,62575226,edelweiss.kindergarten@gmail.com,10B Jalan Jeruju S(768443),768443,na,Yes,25/10/17,,,
KG1096,Elim Kindergarten,NFP,62982204,elimkindie@yahoo.com.sg,1079 Serangoon Road S(328182),328182,www.elimchurch.org.sg/elim-kindergarten/,No,25/10/17,,,
KG1357,Elite Learning Kindergarten Pte Ltd,Commercial,67957798,elitelearningkindergarten@hotmail.com,720 Jurong West Avenue 5 #B1-94 S(640720),640720,na,No,25/10/17,,,
KG1256,En-Naeem Mosque Kindergarten,NFP,62853834,lydiayanti@mujahidin.mosque.org.sg |,120 Tampines Road S(535136),535136,na,No,25/10/17,,,
KG1602,Eshkol Valley @ Gospel Light,Commercial,65256082,eshkolvalley.sg@gmail.com,39 Punggol Field Walk #05-02 S(828753),828753,www.eshkolvalley.com.sg,No,25/10/17,,,
KG1143,Etonhouse International Research Preschool,Commercial,68463322,enquiry@etonhouse.com.sg,716 Mountbatten Road S(436736),436736,www.etonhouse.com.sg,No,25/10/17,,,
KG1448,Evangel Kindergarten,NFP,63653071,na,1 Woodlands Street 83 S(738488),738488,na,Yes,25/10/17,,,
KG1588,Evelyn's Schoolhouse,Commercial,63165658 | 83389202,contact@evelynschoolhouse.com,735 Jurong West St 75 #01-19 S(640735),640735,na,No,25/10/17,,,
KG1030,Faith Kindergarten,NFP,64795409,info@faithkindy.edu.sg,400 Commonwealth Drive S(149604),149604,www.faithkindy.edu.sg,Yes,25/10/17,,,
KG1076,Far Eastern Kindergarten,NFP,62513676,fek_edu@singnet.com.sg,9A Gilstead Road S(309063),309063,www.lifebpc.com/fekedu/,No,25/10/17,,,
KG1510,First Step Montessori House,Commercial,67557552,firststepmontessorihouse@gmail.com,716 Yishun Street 71 #01-268 S(760716),760716,www.firststep.com.sg,No,25/10/17,,,
KG1047,Foochow Methodist Church Kindergarten,NFP,62942516,fmc_kdg@foochowmc.org.sg,90 Race Course Road S(218577),218577,foochowmc.ednoland.com.sg,Yes,25/10/17,,,
KG1336,Galilee Kindergarten,NFP,65603514,kindergarten@galileebpchurch.org,202 Pandan Gardens S(609338),609338,www.galileebpchurch.org/kindergarten,Yes,25/10/17,,,
KG1322,Glory Kindergarten,NFP,64685535,gk@glorykindi.edu.sg,11 Pei Wah Avenue S(597611),597611,www.glorykindi.edu.sg,No,25/10/17,,,
KG1153,Good Shepherd Convent Kindergarten,NFP,62411802,principal@gsckg.edu.sg,25 Nallur Road S(456650),456650,www.gsckg.edu.sg,No,25/10/17,,,
KG1601,Grace House @ Tanglin,Commercial,62623585,weekee@raffleshouse.com,355 Tanglin Road S(247960),247960,www.gracehouse.com.sg,No,25/10/17,,,
KG1381,Grace House Kindergarten,Commercial,68998851,dorothysek@gracehouse.com.sg,1 Bukit Batok West Avenue 4 #04-01 S(659125),659125,www.gracehouse.com.sg,No,25/10/17,,,
KG1077,Gracefields Kindergarten,Commercial,63542822,gracefields.kindergarten@gmail.com,1 One Tree Hill S(248668),248668,na,No,25/10/17,,,
KG1073,GUG The Kindergarten,Commercial,62584722,director@gugifted.com,101 Thomson Road #01-20/27 S(307591),307591,www.gugifted.com,No,25/10/17,,,
KG1607,Han Junior,Commercial,66948380,chiangyy@hanlanguage.edu.sg,VIVA Business Park 750 Chai Chee Road #01-14/14A S(469000),469000,na,No,25/10/17,,,
KG1412,Hanis Montessori Kindergarten (Choa Chu Kang),Commercial,67665505,choa_chu_kang@ehanis.com.sg,707 Choa Chu Kang Street 53 #01-118 S(680707),680707,www.ehanis.com.sg,No,25/10/17,,,
KG1123,Hanis Montessori Kindergarten (Enterprise One),Commercial,64405505,enterprise_one@ehanis.com.sg,Enterprise One 1 Kakit Bukit Road #01-10 S(415934),415934,www.ehanis.com.sg,No,25/10/17,,,
KG1252,Hanis Montessori Kindergarten (Kovan),Commercial,64875505,Arina@ehanis.com.sg,777 Upper Serangoon Road #01-01 S(534645),534645,www.ehanis.com.sg,No,25/10/17,,,
KG1194,Hanis Montessori Kindergarten (Pasir Ris),Commercial,65825505,pasir_ris@ehanis.com.sg,775 Pasir Ris Street 71 #01-402 S(510775),510775,www.ehanis.com.sg,No,25/10/17,,,
KG1212,Hanis Montessori Kindergarten (Tampines),Commercial,67885505,tampines@ehanis.com.sg,374 Tampines Street 34 #01-42 S(520374),520374,www.ehanis.com.sg,No,25/10/17,,,
KG1427,Hanis Montessori Kindergarten (Woodlands),Commercial,63655505,woodlands@ehanis.com.sg,424 Woodlands Street 41 #01-340 S(730424),730424,www.ehanis.com.sg,No,25/10/17,,,
KG1334,Hasanah Mosque Kindergarten,NFP,65617990,lydiayanti@mujahidin.mosque.org.sg |,492 Teban Gardens Road S(608878),608878,na,No,25/10/17,,,
KG1139,Holy Family Kindergarten,NFP,64404344,alee_holyfampc@pacific.net.sg,6 Chapel Road S(429509),429509,na,No,25/10/17,,,
KG1168,Holy Grace Kindergarten,NFP,64483346,principal_hgk@holygrace.sg,408-B Upper East Coast Road S(466484),466484,na,No,25/10/17,,,
KG1420,Hope Community Kindergarten (Choa Chu Kang),NFP,67660643,na,21 Choa Chu Kang Avenue 2 S(689907),689907,na,No,25/10/17,,,
KG1460,Hope Community Kindergarten (Sembawang),NFP,65551298,hcksbw@yahoo.com.sg,55 Sembawang Drive S(757614),757614,na,No,25/10/17,,,
KG1228,Hope Community Kindergarten (Tampines),NFP,65440776,hopecommunitykind@hotmail.com,20 Tampines Street 43 S(529151),529151,na,No,25/10/17,,,
KG1417,Ichiban Nurtureland Kindergarten (Choa Chu Kang),Commercial,67658426,inpl_2003@yahoo.com.sg,31 Hong San Walk S(689022),689022,na,No,25/10/17,,,
KG1376,Iman Kindergarten (Bt. Batok),Commercial,65615466,iman@iman.edu.sg,277 Bukit Batok East Avenue 3 #02-373 S(650277),650277,www.iman.edu.sg,No,25/10/17,,,
KG1405,Iman Kindergarten (CCK),Commercial,64689402,imanchoachukang@gmail.com,530 Choa Chu Kang Street 51 #01-323 S(680530),680530,na,No,25/10/17,,,
KG1224,Iman Kindergarten (Tampines),Commercial,67884911,na,136 Tampines Street 11 #01-156 S(521136),521136,www.iman.edu.sg,No,25/10/17,,,
KG1122,Iman Kindergarten (Tenagaville),Commercial,63421332,iman.tenaga@gmail.com,651 Jalan Tenaga #01-04 S(410651),410651,iman@iman.edu.sg,No,25/10/17,,,
KG1478,Iman Kindergarten (Yishun),Commercial,67560041,imanyishun@gmail.com,934 Yishun Central 1 #01-57 S(760934),760934,iman.edu.sg,No,25/10/17,,,
KG1529,Iroha Kindergarten,Commercial,69085086,irohajeis@outlook.jp |,Block C 231 Mountbatten Road #01-01 S(397999),397999,na,No,25/10/17,,,
KG1114,Jamiyah Kindergarten,NFP,67431211,jk@jamiyah.org.sg,31 Lorong 12 Geylang Level 3 S(399006),399006,na,No,25/10/17,,,
KG1277,JENIUS Kindergarten,Commercial,62884791,totshse@singnet.com.sg,54 Da Silva Lane S(549783),549783,www.jeniustotshouse.com,No,25/10/17,,,
KG1245,Jenius Kindergarten (Hougang),Commercial,63855513,nadia@jeniustotshouse.com,915 Hougang Street 91 #01-10 S(530915),530915,www.jeniustotshouse.com,No,25/10/17,,,
KG1083,Jessin Kindergarten,Commercial,62584558,robin@jessin.edu.sg,85B Lorong 4 Toa Payoh #01-336 S(310085),310085,na,No,25/10/17,,,
KG1052,JHS Montessori Kindergarten,Commercial,68874876,admin@jhs-montessori.com.sg,Valley Point Tower 491B River Valley Road #02-01 S(248373),248373,www.jhs-montessori.com.sg,No,25/10/17,,,
KG1564,Josiah Montessori Kindergarten,Commercial,62601312,lena.lim@josiah.com.sg,5 Tampines Street 32 #02-01 S(529284),529284,www.josiah.com.sg,No,25/10/17,,,
KG1599,Joyhouse Montessori Preschool,Commercial,64555869 | 65540603,joyhouselearningcentre@gmail.com,231 Bishan Street 23 #B1-05 S(570231),570231,na,No,25/10/17,,,
KG1344,Jurong Calvary Kindergarten,NFP,62656193,jurongcalvary@jck.edu.sg,1 Tao Ching Road S(618720),618720,www.jurongcalvarykindergarten.com,No,25/10/17,,,
KG1345,Jurong Christian Church Kindergarten,NFP,62660539,jcckindy@singnet.com.sg,2 Tah Ching Road S(618744),618744,jcckindy.com,No,25/10/17,,,
KG1044,Kampong Kapor Methodist Church Kindergarten,NFP,62942633,kkmckindy@gmail.com,1 Kampong Kapor Road S(208673),208673,kkmckindy.org.sg,No,25/10/17,,,
KG1150,Kampung Siglap Mosque Kindergarten,NFP,62437060,lydiayanti@mujahidin.mosque.org.sg |,451 Marine Parade Road S(449283),449283,na,No,25/10/17,,,
KG1053,Kay Poh Road Baptist Kindergarten,NFP,62381201,kprbk@kprbc.org.sg,7 Kay Poh Road S(248963),248963,www.kprbc.org.sg,No,25/10/17,,,
KG1045,Khalsa Kindergarten,NFP,62973583,principal@khalsakindergarten.org.sg,1 Beatty Road S(209943),209943,www.singaporekhalsa.org.sg,No,25/10/17,,,
KG1511,Kids 'n' Kids School,Commercial,81802065,kckids03@hotmail.com,17 Jalan Saudara Ku S(457453),457453,na,No,25/10/17,,,
KG1462,Kidszone Kindergarten,Commercial,67520455,kidszone@singnet.com.sg,102 Yishun Avenue 5 #03-115 S(760102),760102,www.kidszone.com.sg,No,25/10/17,,,
KG1197,Kidz Meadow Kindergarten,Commercial,65833522,pasir_ris.ps@merculearning.com,102 Pasir Ris Road S(519108),519108,www.merculearning.com,No,25/10/17,,,
KG1098,Kim Keat Christian Church Kindergarten,NFP,62941665,kkcckindergarten@gmail.com,11 Beng Wan Road S(339843),339843,www.kkcc.sg,No,25/10/17,,,
KG1315,Kindergarten@An-Nahdhah,NFP,63543138,kindergarten@annahdhah.mosque.org.sg,9A Bishan Street 14 S(579786),579786,www.annahdhah.org,No,25/10/17,,,
KG1403,Kinderland Kindergarten (Choa Chu Kang),Commercial,67640010,booneng@kinderland.com.sg,475 Choa Chu Kang Avenue 3 #02-15 S(680475),680475,kinderland.com.sg,No,25/10/17,,,
KG1251,Kinderland Kindergarten (Serangoon),Commercial,62882979,keshgps@kinderland.com.sg,587 Upper Serangoon Road S(534564),534564,www.kinderland.com.sg,No,25/10/17,,,
KG1441,Kinderland Kindergarten (Woodlands),Commercial,67698166,keswck@kinderland.com.sg,Woodlands Civic Centre 900 South Woodlands Drive #05-10 S(730900),730900,www.kinderland.com.sg,No,25/10/17,,,
KG1487,Kinderland Kindergarten (Yio Chu Kang),Commercial,64832261,kesyckps@kinderland.com.sg,449 Yio Chu Kang Road S(805946),805946,kinderland.com.sg,No,25/10/17,,,
KG1131,Kits4Kids Kindergarten,Commercial,63458812,enquiry@kits4kids.org,107 Lorong L Telok Kurau S(425542),425542,www.kits4kids.org,No,25/10/17,,,
KG1568,Kizroo Kindergarten,Commercial,64667011,info-kiz@kizroo.com,The Grandstand 200 Turf Club Road #06-03 S(287994),287994,kizroo.com/kindergarten,No,25/10/17,,,
KG1049,Little Hands Montessori Kindergarten,Commercial,62355741,na,2A Paterson Hill S(238565),238565,na,No,25/10/17,,,
KG1463,Little Leader Kindergarten,Commercial,67522345,na,102 Yishun Avenue 5 #04-115 S(760102),760102,na,No,25/10/17,,,
KG1057,Little Oaks Montessori Kindergarten,Commercial,64633720,na,98 Farrer Road S(259226),259226,www.littleoaks.com.sg,No,25/10/17,,,
KG1506,Little Ones Kindergarten,Commercial,67631993,mail@littleones.com.sg,58 Holland Grove Drive S(278886),278886,na,No,25/10/17,,,
KG1050,Little Raindrops Montessori Pre-School,Commercial,67349629,littleraindrops@singnet.com.sg,2A Paterson Hill S(238565),238565,na,No,25/10/17,,,
KG1078,Little Woods Montessori Preschool,Commercial,62516317 | 62510817,admin@littlewoodsmontessori.com,45 Gentle Road S(309166),309166,www.littlewoodsmontessori.com,No,25/10/17,,,
KG1152,LittleSparks Montessori Kindergarten,Commercial,68760198,littlesparkskinder@yahoo.com.sg,Bowmont Centre 20 Siglap Drive #01-06 S(456192),456192,na,No,25/10/17,,,
KG1541,LittleSparks Montessori Kindergarten @ Kembangan,Commercial,64404770,littlesparkskbg@gmail.com,103 Jalan Kembangan S(419145),419145,littlesparks.com.sg,No,25/10/17,,,
KG1259,Living Sanctuary Kindergarten,Commercial,62833373,lskadmin@lsbc.org.sg,Bethesda Ground 2 Hougang Street 22 S(538728),538728,www.lsbc.org.sg,Yes,25/10/17,,,
KG1101,Lumiere Montessori House,Commercial,62839290,serene@lumiere.edu.sg,64 Wolskel Road S(357971),357971,www.lumiere.edu.sg,No,25/10/17,,,
KG1109,Magdalene's Kindergarten,NFP,67476554 | 67475122,magkg@singnet.com.sg,1 Sallim Road S(387621),387621,na,No,25/10/17,,,
KG1215,Mahad Al - Nasry Kindergarten,Commercial,67874724,alnasrytp@gmail.com,476 Tampines Street 44 #01-179 S(520476),520476,na,No,25/10/17,,,
KG1274,Mahad Al-Nasry @ Sengkang kindergarten,Commercial,64896764,mahadnasry@gmail.com,415 Punggol Road S(546646),546646,www.al-nasrykindergarten.com,No,25/10/17,,,
KG1056,Maris Stella Kindergarten,NFP,64743590,marisstellakg@yahoo.com.sg,49B Holland Road S(258851),258851,na,No,25/10/17,,,
KG1070,Marymount Kindergarten,NFP,62515049,principal@mkg.edu.sg | admin@mkg.edu.sg,9 Toa Payoh Lorong 8 S(319253),319253,www.mkg.edu.sg,No,25/10/17,,,
KG1400,Metamorphosis Kindergarten,Commercial,67696902,metamorphosis0407@yahoo.com.sg,309 Choa Chu Kang Avenue 4 #04-07 S(680309),680309,na,No,25/10/17,,,
KG1415,Methodist Church Of The Incarnation (MCI) Kindergarten,NFP,67630621,mcik@mci.org.sg,31 Teck Whye Lane S(688798),688798,mci.org.sg,Yes,25/10/17,,,
